ΚΩΔΙΚ. ΚΕΝ (*)	ΚΕΝ ΠΕΡΙΓΡΑΦΗ	 ΚΟΣΤΟΣ ΑΝΑ ΚΕΝ	ΜΔΝ (*)
Κ09Μα	Λοιπές κάρδιοθωρακικές χειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	6.41 €	10
Κ09Μβ	Άλλες κάρδιο-θώρακοχειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία με σοβαρής ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές	3.62 €	6
Κ09Χ	Άλλες κάρδιο-θώρακοχειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές 	2.39 €	3
Κ10Μ	Επεμβατικές στεφανιαίες επεμβάσεις με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	4.17 €	8
Κ10Χ	Επεμβατικές στεφανιαίες επεμβάσεις με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.72 €	4
Κ11Μ	"Ακρωτηριασμός λόγω αγγειακής ισχαιμίας,  πλην άνω άκρου και δακτύλων άκρου ποδός,  με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές"	7.29 €	27
Κ11Χ	"Ακρωτηριασμός λόγω αγγειακής ισχαιμίας,  πλην άνω άκρου και δακτύλων άκρου ποδός,  χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές"	3.22 €	14
Κ12Μ	"Τοποθέτηση ή αντικατάσταση βηματοδότη, ολικού συστήματος, με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές"	5.47 €	11
Κ12Χ	"Τοποθέτηση ή αντικατάσταση βηματοδότη, ολικού συστήματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές"	3.69 €	4
Κ13Μ	Ακρωτηριασμός άνω άκρου ή δακτύλου άκρου ποδός λόγω νοσήματος κυκλοφορικού με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	3.97 €	17
Κ13Χ	Ακρωτηριασμός άνω άκρου ή δακτύλου άκρου ποδός λόγω καρδιαγγειακού νοσήματος χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1.66 €	7
Κ14Μα	"Αγγειακές επεμβάσεις, πλην μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές"	3.57 €	11
Κ14Μβ	"Αγγειακές επεμβάσεις, πλην μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία, με σοβαρού ή μετρίου βαθμού συνυπάρχουσες παθήσεις-επιπλοκές"	1.99 €	4
Κ14Χ	"Αγγειακές επεμβάσεις, πλην μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές"	1.28 €	2
Κ15Μ	Επεμβατικές στεφανιαίες επεμβάσεις χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με τοποθέτηση ενδοπρόθεσης (stent) με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.73 €	4
Κ15Χ	Επεμβατικές στεφανιαίες επεμβάσεις χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με τοποθέτηση ενδοπρόθεσης (stent) χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.01 €	2
Κ16Μ	Επεμβατικές στεφανιαίες επεμβάσεις χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς τοποθέτηση ενδοπρόθεσης (stent) με συνυπάρχουσες παθήσεις-επιπλοκές	1.53 €	3
Κ16Χ	Επεμβατικές μέθοδοι στα στεφανιαία χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς τοποθέτηση ενδοπρόθεσης (stent) χωρίς συνυπάρχουσες παθήσεις-επιπλοκές	1.12 €	2
Κ17Μ	Τοποθέτηση ή αντικατάσταση γεννήτριας βηματοδότη με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.89 €	5
Κ17Χ	Τοποθέτηση ή αντικατάσταση γεννήτριας βηματοδότη χωρίς  σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.62 €	1
Κ18Μ	Λοιπές επεμβάσεις με βηματοδότη με συνυπάρχουσες παθήσεις-επιπλοκές	2.23 €	7
Κ18Χ	Λοιπές επεμβάσεις με βηματοδότη χωρίς συνυπάρχουσες παθήσεις-επιπλοκές	1.15 €	2
Κ19Α	Διαδερμικές ενδοαγγειακές καρδιακές επεμβάσεις	3.19 €	3
Κ20Α	Απολίνωση φλέβας	760 €	1
Κ21Μ	Λοιπές επεμβάσεις νοσημάτων κυκλοφορικού με συνυπάρχουσες παθήσεις-επιπλοκές	3.68 €	15
Κ21Χ	Λοιπές επεμβάσεις νοσημάτων κυκλοφορικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1.49 €	4
Κ22Α	Αορτικά Βαλβιδοφόρα Μοσχεύματα	7.75 €	15
Κ30Μ	Νοσήματα κυκλοφορικού με μηχανική υποστήριξη αναπνοής (αναπνευστήρα)  με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	6.30 €	11
Κ30Χ	Νοσήματα κυκλοφορικού με μηχανική υποστήριξη αναπνοής (αναπνευστήρα)  χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	4.47 €	6
Κ31Μ	Νοσήματα κυκλοφορικού με ΟΕΜ  με διαγνωστική επεμβατική καρδιακή τεχνική με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.04 €	8
Κ31Χ	παθήσεις-επιπλοκές του κυκλοφορικού με ΟΕΜ  με διαγνωστική επεμβατική καρδιακή τεχνική χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1.18 €	4
Κ32Α	"παθήσεις-επιπλοκές του κυκλοφορικού χωρίς ΟΕΜ  με διαγνωστική επεμβατική καρδιακή τεχνική, την ίδια ημέρα"	1.04 €	1
Κ32Μ	παθήσεις-επιπλοκές του κυκλοφορικού χωρίς ΟΕΜ  με διαγνωστική επεμβατική καρδιακή τεχνική με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.06 €	8
Κ32Χ	παθήσεις-επιπλοκές του κυκλοφορικού χωρίς ΟΕΜ  με διαγνωστική επεμβατική καρδιακή τεχνική χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1.09 €	3
Κ33Α	Διάγνωση κυκλοφορικού με μη επεμβατικό μηχανικό αερισμό	3.13 €	13
Κ40Μ	Διαταραχές κυκλοφορικού με ΟΕΜ  χωρίς διαγνωστική επεμβατική καρδιακή τεχνική με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.00 €	10
Κ40Χ	Διαταραχές κυκλοφορικού με ΟΕΜ  χωρίς διαγνωστική επεμβατική καρδιακή τεχνική χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	794 €	3
Κ41Μ	Λοιμώδης ενδοκαρδίτιδα με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	4.80 €	22
Κ41Χ	Λοιμώδης ενδοκαρδίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.40 €	12
Κ42Μ	Καρδιακή ανεπάρκεια και καταπληξία (SCHOCK) με καταστροφικές συνυπάρχουσες παθήσεις	2.05 €	10
Κ42Χ	Καρδιακή ανεπάρκεια και καταπληξία (SCHOCK) χωρίς καταστροφικές συνυπάρχουσες παθήσεις	934 €	5
Κ43Μ	Φλεβοθρόμβωση με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1.47 €	8
Κ33Χ	Φλεβοθρόμβωση χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	669 €	5
Κ34Μ	Δερματικά έλκη σε παθήσεις-επιπλοκές κυκλοφορικού με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.23 €	13
Κ34Χ	Δερματικά έλκη σε παθήσεις-επιπλοκές κυκλοφορικού χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	981 €	5
Κ35Μ	Περιφερική αγγειοπάθεια με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1.50 €	7
Κ35Χ	Περιφερική αγγειοπάθεια χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	521 €	2
Κ36Μ	Αθηρωμάτωση στεφανιαίων αρτηριών με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	957 €	5
Κ36Χ	Αθηρωμάτωση στεφανιαίων αρτηριών χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	374 €	2
Κ37Μ	Αρτηριακή υπέρταση με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1.20 €	6
Κ37Χ	Αρτηριακή υπέρταση χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	459 €	2
Κ38Μ	Συγγενής καρδιοπάθεια με συνυπάρχουσες παθήσεις-επιπλοκές	1.28 €	4
Κ38Χ	Συγγενής καρδιοπάθεια χωρίς συνυπάρχουσες παθήσεις-επιπλοκές	627 €	1
Κ39Μ	Βαλβιδοπάθειες με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1.27 €	6
Κ39Χ	Βαλβιδοπάθειες χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	327 €	2
Κ42Μ	Ασταθής στηθάγχη με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	942 €	4
Κ42Χ	Ασταθής στηθάγχη χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	467 €	2
Κ43Μ	Συγκοπή και λιποθυμία με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	1.11 €	6
Κ43Χ	Συγκοπή και λιποθυμία χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	397 €	2
Κ44Α	Θωρακικό άλγος	311 €	1
Κ45Μα	Λοιπές παθήσεις-επιπλοκές κυκλοφορικού  με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές	2.43 €	10
Κ45Μβ	Λοιπές παθήσεις-επιπλοκές κυκλοφορικού  με μετρίου ή σοβαρού βαθμού συνυπάρχουσες παθήσεις-επιπλοκές	1.02 €	4
Κ45Χ	Λοιπές παθήσεις-επιπλοκές κυκλοφορικού  χωρίς συνυπάρχουσες παθήσεις-επιπλοκές	521 €	2
Κ46Μ	"Αρρυθμία, καρδιακή ανακοπή και διαταραχές  αγωγιμότητας με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές"	1.25 €	6
Κ46Χ	"Αρρυθμία, καρδιακή ανακοπή και διαταραχές αγωγιμότητας χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές"	444 €	2
Κ47Α	 Κατάλυση αρρυθμιογόνων εστιών	2.42 €	6
ΤΚΑ 06	Παθήσεις και δυσλειτουργίες του πεπτικού συστήματος (Π)		
Π01Μ	Εκτομή ορθού με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	6.49 €	18
Π01Χ	Εκτομή ορθού χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	3.86 €	9
Π02Μ	Μείζονες επεμβάσεις λεπτού και παχέος εντέρου με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	5.74 €	17
Π02Χ	Μείζονες επεμβάσεις λεπτού και παχέος εντέρου χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	2.77 €	8
Π03Μ	"Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδακτύλου με κακοήθεια ή με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές "	6.91 €	17
Π03Χα	"Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδάκτυλου χωρίς κακοήθεια και σοβαρές ή μεσαίας βαρύτητας  συνυπάρχουσες παθήσεις - επιπλοκές"	2.83 €	8
Π03Χβ	"Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδάκτυλου χωρίς κακοήθεια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές"	1.81 €	4
Π04Μα	Λύση περιτοναϊκών συμφύσεων με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές 	4.85 €	16
Π04Μβ	Λύση περιτοναϊκών συμφύσεων με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές	2.71 €	9
Π04Χ	Λύση περιτοναϊκών συμφύσεων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	1.58 €	4
Π05Μα	Μικρές επεμβάσεις λεπτού και παχέος εντέρου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	3.33 €	12
Π05Μβ	Μικρές επεμβάσεις λεπτού και παχέος εντέρου με  σοβαρές ή μεσαίας βαρύτητας  συνυπάρχουσες παθήσεις - επιπλοκές	2.09 €	7
Π05Χ	Μικρές επεμβάσεις λεπτού και παχέος εντέρου χωρίς  συνυπάρχουσες παθήσεις - επιπλοκές	1.38 €	4
Π06Α	Επεμβάσεις πυλορομυοτομής	1.04 €	3
Π07Μ	Σκωληκοειδεκτομή με κακοήθεια ή περιτονίτιδα ή με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	1.55 €	5
Π07Χ	Σκωληκοειδεκτομή χωρίς κακοήθεια ή περιτονίτιδα ή χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	983 €	2
Π10Μ	"Επεμβάσεις κηλών (βουβωνοκήλες, ομφαλοκήλες κτλ) με  συνυπάρχουσες παθήσεις - επιπλοκές"	1.70 €	5
Π10Χ	"Επεμβάσεις κηλών (βουβωνοκήλες, ομφαλοκήλες κτλ) χωρίς  συνυπάρχουσες παθήσεις - επιπλοκές"	868 €	1
Π11Α	Επεμβάσεις που αφορούν κωλοστομίες και πρωκτό	566 €	2
Π12Μα	Λοιπές Επεμβάσεις πεπτικού συστήματος  με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	4.18 €	16
Π12Μβ	Λοιπές Επεμβάσεις πεπτικού συστήματος  με σοβαρές ή μεσαίας βαρύτητας  συνυπάρχουσες παθήσεις - επιπλοκές	1.93 €	7
Π12Χ	Λοιπές Επεμβάσεις πεπτικού συστήματος  χωρίς  συνυπάρχουσες παθήσεις - επιπλοκές	967 €	3
Π26Μ	Συνδυασμένη γαστροσκόπιση με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	3.34 €	14
Π26Χ	Συνδυασμένη γαστροσκόπιση χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	1.25 €	5
Π26Α	"Συνδυασμένη γαστροσκόπιση, την ίδια ημέρα "	330 €	1
Π27Μ	Λοιπές επεμβάσεις γαστροσκόπισης με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	2.52 €	12
Π27Χ	Λοιπές επεμβάσεις γαστροσκόπισης χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	988 €	4
Π27Α	"Λοιπές επεμβάσεις γαστροσκόπισης, την ίδια ημέρα"	265 €	1
Π28Μ	Κολονοσκόπιση με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	2.06 €	10
Π28Χ	Κολονοσκόπιση χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	872 €	4
Π28Α	"Κολονοσκόπιση, την ίδια ημέρα "	290 €	1
Π40Μ	Κακοήθεια του γαστρεντερικού με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	1.67 €	9
Π40Χ	Κακοήθεια του γαστρεντερικού χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	677 €	4
Π41Μ	Αιμορραγία γαστρεντερικού με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	1.03 €	5
Π41Χ	Αιμορραγία γαστρεντερικού χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	412 €	2
Π42Α	Επιπεπλεγμένο πεπτικό έλκος 	1.10 €	5
Π43Α	Μη επιπεπλεγμένο πετικό έλκος	335 €	2
Π44Μ	Φλεγμονώδης νόσος εντέρου με  συνυπάρχουσες παθήσεις - επιπλοκές 	1.10 €	5
Π44Χ	Φλεγμονώδης νόσος εντέρου χωρίς  συνυπάρχουσες παθήσεις - επιπλοκές 	1.07 €	2
Π45Μ	Απόφραξη γαστρεντερικού συστήματος με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	1.34 €	7
Π45Χ	Απόφραξη γαστρεντερικού συστήματος χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	623 €	3
Π46Α	Κοιλιακός πόνος ή μεσεντερική αδενίτιδα	327 €	2
Π47Μ	Οισοφαγίτιδα και γαστρεντερίτιδα με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	1.12 €	5
Π47Χ	Οισοφαγίτιδα και γαστρεντερίτιδα χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	335 €	2
Π50Μ	Διάγνωση άλλων παθήσεων του πεπτικού συστήματος με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	1.14 €	6
Π50Χ	Διάγνωση άλλων παθήσεων του πεπτικού συστήματος χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές 	374 €	2
ΤΚΑ 07	Άλλες δυσλειτουργίες του ηπατοχολικού συστήματος και παγκρέατος (Η)		
Η01Μ	"Αναστομώσεις πυλαίας-κάτω κοίλης, επεμβάσεις παγκρέατος, ήπατος και παρακάμψεις με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές"	7.92 €	19
Η01Χ	"Αναστομώσεις πυλαίας-κάτω κοίλης, επεμβάσεις παγκρέατος, ήπατος και παρακάμψεις χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές"	3.68 €	7
Η02Μα	Μείζονες επεμβάσεις χοληφόρων  με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	5.11 €	17
Η02Μβ	Μείζονες επεμβάσεις χοληφόρων  με σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	2.58 €	9
Η02Χ	Μείζονες επεμβάσεις χοληφόρων  χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	2.08 €	6
Η05Μ	Διαγνωστικές ηπατοχολικές παρεμβάσεις με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	4.53 €	14
Η05Χ	Διαγνωστικές ηπατοχολικέςπαρεμβάσεις χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	1.39 €	4
Η06Μ	Λοιπές Διαγνωστικές ηπατοχολικές χειρουργικές παρεμβάσεις και παρεμβάσεις  παγκρέατος με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	4.65 €	19
Η06Χ	Λοιπές Διαγνωστικές ηπατοχολικές χειρουργικές παρεμβάσεις και παρεμβάσεις παγκρέατος χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	1.56 €	5
Η07Μ	Ανοιχτή χολοκυστεκτομή με κλειστό χοληδόχο πόρο ή με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	4.30 €	14
Η07Χ	Ανοιχτή χολοκυστεκτομή χωρίς κλειστό χοληδόχο πόρο χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	2.04 €	6
Η08Μ	Λαπαρασκοπική χολοκυστεκτομή με κλειστό χοληδόχο πόρο ή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	2.11 €	6
Η08Χ	Λαπαρασκοπική χολοκυστεκτομή χωρίς κλειστό χοληδόχο πόρο χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	1.27 €	2
Η20Μ	Ενδοσκοπικές επεμβάσεις για αιμορραγία κιρσων του οισοφάγου με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	3.56 €	11
Η20Χ	Ενδοσκοπικές επεμβάσεις για αιμορραγία κιρσων του οισοφάγου χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	1.52 €	5
Η23Μ	Ενδοσκοπική παλίνδρομη χολαγειοπαγκρεατογραφία με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	2.55 €	11
Η23Χ	Ενδοσκοπική παλίνδρομη χολαγειοπαγκρεατογραφία χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	786 €	3
Η40Μα	Κίρρωση και αλκοολική ηπατίτιδα με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	2.65 €	12
Η40Μβ	Κίρρωση και αλκοολική ηπατίτιδα με σοβαρές ή μεσαίας βαρύτητας  συνυπάρχουσες παθήσεις - επιπλοκές	965 €	5
Η40Χ	Κίρρωση και αλκοολική ηπατίτιδα χωρίς   συνυπάρχουσες παθήσεις - επιπλοκές	366 €	2
Η41Μ	Κακοήθεια του ηπατοχολικού συστήματος και παγκρέατος με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	1.93 €	9
Η41Χ	Κακοήθεια του ηπατοχολικού συστήματος και παγκρέατος χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	872 €	4
Η42Μ	Διαταραχές παγκρέατος χωρίς κακοήθεια με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	1.94 €	8
Η42Χ	Διαταραχές παγκρέατος χωρίς κακοήθεια χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	708 €	3
Η43Μ	"Διαταραχές ήπατος χωρίς κακοήθεια, Κύρωση, αλκοολική ηπατίτιδα με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές"	1.81 €	8
Η43Χ	"Διαταραχές ήπατος χωρίς κακοήθεια, Κύρωση, αλκοολική ηπατίτιδα χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές"	521 €	2
Η44Μ	Δαταραχές των χοληφόρων με  συνυπάρχουσες παθήσεις - επιπλοκές	1.20 €	6
Η44Χ	Δαταραχές των χοληφόρων με/ χωρίς  συνυπάρχουσες παθήσεις - επιπλοκές	436 €	2
ΤΚΑ 08	Παθήσεις και δυσλειτουργίες του μυοσκελετικού συστήματος και συνεκτικού ιστού (Μ)		
Μ01Μ	Αμφοτερόπλευρες/Πολλαπλές επεμβάσεις μεγάλων αρθρώσεων κάτω άκρων με αναθεώρηση ή με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	14.02 €	25
Μ01Χ	Αμφοτερόπλευρες/ Πολλαπλές επεμβάσεις μεγάλων αρθρώσεων κάτω άκρων χωρίς αναθεώρηση  χωρίς  καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	9.61 €	7
Μ02Μ	Μεταφορά μικροαγγειούμενου ιστικού μοσχεύματος ή (Δερματικό μόσχευμα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές) εξαιρουμένης άκρας χείρας	9.11 €	27
Μ02Χ	"Δερματικό μόσχευμα (κρημνός) χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές, εξαιρουμένης άκρας χείρας"	3.43 €	8
Μ03Μ	Αντικατάσταση ισχίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	6.31 €	15
Μ03Χ	Αντικατάσταση ισχίου χωρίς  καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	6.41 €	7
Μ04Μ	Αντικατάσταση γόνατος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	7.04 €	9
Μ04Χ	Αντικατάσταση γόνατος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	6.61 €	6
Μ05Μ	Αντικατάσταση άλλων αρθρώσεων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	7.71 €	11
Μ05Χ	Αντικατάσταση άλλων αρθρώσεων χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	6.10 €	5
Μ06Α	Σπονδυλοδεσία με παραμόρφωση	19.98 €	9
Μ07Α	Ακρωτηριασμός	5.24 €	21
Μ08Μ	Λοιπές επεμβάσεις ισχίου και μηριαίου με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	4.45 €	17
Μ08Χ	Λοιπές επεμβάσεις ισχίου και μηριαίου χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	3.01 €	9
Μ09Μ	Σπονδυλοδεσία με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	14.72 €	18
Μ09Χ	Σπονδυλοδεσία χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές	9.78 €	7
Μ10Μ	Λοιπές επεμβάσεις αυχένος-οσφύος - θώρακος με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	3.39 €	10
Μ10Χ	Λοιπές επεμβάσεις αυχένος-οσφύος - θώρακος χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές	1.91 €	4
Μ11Α	Επεμβάσεις διατατικής επιμηκύνσεως άκρων 	4.05 €	4
Μ12Μα	Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις με  σοβαρής και μέτριας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές	5.48 €	24
Μ12Μβ	Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις με  καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2.99 €	14
Μ12Χ	Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις χωρίς  συνυπάρχουσες παθήσεις - επιπλοκές	1.67 €	6
Μ13Μ	"Επεμβάσεις βραχιονίου, κνήμης, περόνης και αστραγάλου με συνυπάρχουσες παθήσεις - επιπλοκές"	3.89 €	11
Μ13Χ	"Επεμβάσεις Βραχιονίου, κνήμης, περόνης και αστραγάλου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές"	2.08 €	4
Μ15Α	Κρανιοπροσωπικές επεμβάσεις	3.76 €	6
Μ16Α	Λοιπές επεμβάσεις ώμου	1.59 €	2
